ndvi,lat,lon,alt,acs,species,UNIQ_ID
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,284
123,-10.15,-77.35,3540,LA3795,S. peruvianum,285
115,-18.2667,-69.5833,3260,LA2773,S. chilense,286
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,287
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,288
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,289
118,-14.3833,-74.8167,2940,LA1928,S. habrochaites,290
106,-14.4492,-75.2203,620,LA1912,S. pennellii,291
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,292
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,293
100,-17.25,-71.25,1336,LA1958,S. chilense,294
108,-23.6833,-68.0667,2390,LA2884,S. chilense,295
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,296
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,297
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,298
124,-7.18,-78.52,1340,LA2167,S. habrochaites,299
106,-16.2083,-73.6333,320,LA716,S. pennellii,300
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,301
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,302
124,-17.5333,-70.0333,3015,LA1969,S. chilense,303
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,304
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,305
127,-12.45,-75.925,3540,LA1691,S. habrochaites,306
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,307
111,-9.5167,-78.0083,740,LA2580,S. pennellii,308
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,309
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,310
106,-20.9167,-69.0667,2460,LA2931,S. chilense,311
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,312
111,-11.5667,-76.73,1840,LA361,S. habrochaites,313
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,314
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,315
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,316
123,-10.15,-77.35,3540,LA3795,S. peruvianum,317
115,-18.2667,-69.5833,3260,LA2773,S. chilense,318
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,319
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,320
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,321
106,-14.4492,-75.2203,620,LA1912,S. pennellii,322
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,323
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,324
100,-17.25,-71.25,1336,LA1958,S. chilense,325
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,326
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,327
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,328
124,-7.18,-78.52,1340,LA2167,S. habrochaites,329
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,330
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,331
124,-17.5333,-70.0333,3015,LA1969,S. chilense,332
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,333
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,334
127,-12.45,-75.925,3540,LA1691,S. habrochaites,335
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,336
111,-9.5167,-78.0083,740,LA2580,S. pennellii,337
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,338
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,339
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,340
111,-11.5667,-76.73,1840,LA361,S. habrochaites,341
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,342
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,343
112,-16.1383,-73.6428,480,LA3788,S. pennellii,344
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,345
123,-10.15,-77.35,3540,LA3795,S. peruvianum,346
115,-18.2667,-69.5833,3260,LA2773,S. chilense,347
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,348
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,349
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,350
106,-20.9167,-69.0667,2460,LA2931,S. chilense,351
106,-14.4492,-75.2203,620,LA1912,S. pennellii,352
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,353
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,354
100,-17.25,-71.25,1336,LA1958,S. chilense,355
108,-23.6833,-68.0667,2390,LA2884,S. chilense,356
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,357
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,358
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,359
124,-7.18,-78.52,1340,LA2167,S. habrochaites,360
106,-16.2083,-73.6333,320,LA716,S. pennellii,361
